Configuration number,ConfigurationCAENHV,ConfigurationLecroyScope,ConfigurationKeySightScope,ConfigurationETROC0,ConfigurationVME,ConfigurationTOFHIR,ConfigurationDT5742,ConfigurationTekScope,ConfigurationSampic,Sensors,Run Table,ConfigurationVME copy,ConfigurationVME copy,ConfigurationKeySightScope copy
296,158,13,,,,,,,,,"34842,34843,34844,34845,34846,34847,34848,34849,34850,34851,34852,34853,34854,34855,34856,34857,34858,34859,34860,34861,34862,34863,34864,34865,34866,34867,34868,34869,34870,34871,34872,34873,34874,34875,34876,34877,34878,34879,34880,34881,34882,34883,34885,34886,34887,34888,34889,34890,34891,34892,34893,34894,34895,34896,34897,34899,34900,34901,34902,34903,34904",,,
297,164,13,,,,,,,,,"34905,34906,34907,34908,34910,34911,34912,34913,34914,34915,34916,34917,34918,34919,34920,34921,34922,34923,34924,34925,34926,34927",,,
298,165,13,,,,,,,,,"34928,34929,34930,34931,34932,34933,34934,34935,34936,34937,34938,34939,34940,34941,34942,34943,34944,34945,34946,34947,34948,34949,34950,34951,34952,34953,34954,34955,34956",,,
299,158,14,,,,,,,,,"34957,34958,34959,34960,34961,34962,34963,34964,34965,34966,34967,34968,34969,34970,34971,34972,34973,34974,34975,34976,34977,34978,34979,34980,34981,34982,34983,34984,34985,34986,34987,34988,34989,34990,34991,34992,34993,34994,34995,34996,34997,34998,34999,35000,35001,35002,35003,35004,35005,35006,35007",,,
300,164,14,,,,,,,,,"35008,35009,35010,35011,35012,35013,35014,35015,35016,35017,35018,35019,35020,35021,35022,35023,35024,35025,35026,35027,35028,35029,35030,35031,35032,35033,35034,35035,35036,35037,35038,35039,35040,35041,35042,35043,35044,35045,35046,35047,35048",,,
301,167,15,,,,,,,,,"35049,35050,35051,35052,35053,35054,35055,35056,35057,35058,35059,35060",,,
302,168,15,,,,,,,,,"35061,35062,35063,35064,35065,35066,35067,35068,35069,35070,35071",,,
303,169,16,,,,,,,,,"35072,35073,35074,35077,35078,35079,35080,35081,35082,35083,35084,35085,35086,35087,35088,35089,35090,35091,35092,35093,35094,35095,35096,35097,35098,35099,35100,35101,35102,35103,35104,35105,35106,35107,35108,35109,35110,35111,35112,35113,35114,35115,35116",,,
304,169,17,,,,,,,,,"35130,35131,35132,35133,35134,35135,35136,35137,35138,35139,35140,35141,35142,35145,35146,35147,35148,35149,35150,35151,35152,35153,35154,35155,35156,35157,35158,35159,35160,35161",,,
305,170,18,,,,,,,,,"35162,35163,35164,35165,35166,35167",,,
306,170,18,,,,,,,,,"35168,35169,35170,35171,35172,35173,35174,35175,35176,35177,35178",,,
307,170,19,,,,,,,,,35179,,,
308,170,19,,,,,,,,,"35181,35182,35183,35184,35185,35186,35187,35188,35189,35190,35191",,,
309,169,17,,,,,,,,,"35129,35128,35127,35126,35125,35124,35123,35122,35121,35120,35119,35118,35117",,,
310,171,20,,,,,,,,,"35192,35193,35194,35195,35196,35197,35198,35199,35200,35201,35202,35203,35204,35205,35206,35207,35208,35209,35210,35211,35212,35213,35214,35215,35216,35217,35218,35219,35220,35221,35222,35223,35224,35225,35226,35227,35228,35229,35230,35231,35232,35233,35234,35235,35236,35237,35238,35239,35240,35241,35242,35243,35244,35245,35246,35247,35248,35249,35250,35251,35252,35253,35254,35255,35256,35257,35258,35260,35261,35262,35263,35264,35265,35266,35267,35268,35269,35270,35271,35272,35273,35274",,,
